Alias,Grado
11210,1
13229,1
592,1
5779,1
6862,1
9716,1
14051,1
5471,1
14490,1
2823,1
756,1
5804,1
6532,1
7649,1
11407,1
2335,1
13672,1
13288,1
9432,1
10786,1
4346,1
14144,1
5647,1
15151,1
14345,1
5817,1
711,1
8621,1
10136,1
12788,1
8564,1
3979,1
419,1
11092,1
11337,1
13228,1
16171,1
2867,1
5320,1
8359,1
12172,1
17243,1
10524,1
12210,1
16041,1
898,1
14537,1
5584,1
16878,1
1388,1
5430,1
5973,1
7100,1
10069,1
16337,1
772,1
8204,1
15408,1
15847,1
1080,1
12878,1
3067,1
3091,1
3694,1
9278,1
16040,1
5599,1
5077,1
8216,1
8906,1
9425,1
14477,1
7315,1
15692,1
15188,1
13087,1
12570,1
8753,1
10180,1
13406,1
88,1
1861,1
2914,1
12418,1
8665,1
724,1
15101,1
1205,1
11139,1
14273,1
13287,1
14375,1
3478,1
11862,1
13290,1
9005,1
4477,1
16069,1
4149,1
2163,1
6178,1
6290,1
8943,1
9146,1
16861,1
1503,1
4146,1
3937,1
16759,1
14685,1
11861,1
4276,1
13976,1
11104,1
7994,1
14872,1
99,1
17245,1
3393,1
10653,1
9696,1
10025,1
13546,1
16902,1
237,1
15475,1
8836,1
4413,1
2941,1
7909,1
15357,1
1835,1
5412,1
4254,1
9491,1
15549,1
14987,1
5137,1
6393,1
16282,1
13352,1
3384,1
3897,1
13570,1
10270,1
12579,1
16489,1
17179,1
13028,1
12313,1
8952,1
15043,1
9530,1
11556,1
1288,1
6273,1
6805,1
9963,1
882,1
7466,1
8985,1
10436,1
15381,1
3125,1
7773,1
16473,1
12018,1
8320,1
13737,1
2139,1
12384,1
6829,1
6117,1
7053,1
13634,1
12071,1
8779,1
11846,1
3483,1
4284,1
2835,1
346,1
5684,1
16921,1
3666,1
6220,1
6664,1
17150,1
9511,1
17044,1
12227,1
5968,1
3224,1
9939,1
1241,1
3062,1
2363,1
8657,1
6937,1
11803,1
14628,1
17100,1
160,1
1670,1
171,1
8977,1
14831,1
2516,1
7200,1
3428,1
11382,1
16585,1
4260,1
14177,1
11484,1
13437,1
13786,1
16186,1
525,1
3849,1
4608,1
8390,1
9200,1
3726,1
7874,1
6247,1
8406,1
16699,1
4066,1
6446,1
11423,1
4004,1
9190,1
16754,1
17185,1
5707,1
9462,1
16387,1
145,1
12218,1
10095,1
10366,1
11874,1
4373,1
8193,1
12710,1
530,1
5495,1
9244,1
4360,1
11010,1
15170,1
733,1
2493,1
15268,1
16369,1
2277,1
4052,1
10157,1
10327,1
5492,1
14856,1
16230,1
8948,1
13436,1
7793,1
7807,1
9439,1
12474,1
15858,1
16152,1
5363,1
5468,1
16397,1
8407,1
4595,1
10755,1
16380,1
15580,1
14954,1
2587,1
16949,1
7690,1
7613,1
6668,1
10692,1
759,1
990,1
1881,1
5046,1
9122,1
15501,1
298,1
4581,1
4281,1
13116,1
14212,1
4091,1
15273,1
16561,1
14850,1
1556,1
4736,1
6799,1
15836,1
16037,1
1926,1
6037,1
8938,1
14721,1
11123,1
2778,1
4469,1
14368,1
13569,1
16220,1
9444,1
16857,1
16528,1
16936,1
3538,1
14579,1
5204,1
10775,1
8588,1
5494,1
6798,1
6887,1
6981,1
12573,1
11169,1
11373,1
318,1
2608,1
9912,1
6322,1
7469,1
9048,1
3102,1
590,1
3182,1
13164,1
9027,1
14319,1
11654,1
13536,1
12756,1
304,1
812,1
5903,1
11088,1
2157,1
5863,1
15654,1
2689,1
11351,1
3176,1
12225,1
2445,1
11780,1
450,1
1423,1
5507,1
7480,1
12884,1
15926,1
981,1
2991,1
4328,1
11869,1
5924,1
4029,1
11558,1
13470,1
14347,1
16505,1
1707,1
4418,1
6776,1
11751,1
16796,1
14736,1
13311,1
7449,1
5453,1
17240,1
14246,1
9217,1
12425,1
9473,1
4548,1
16684,1
2757,1
4557,1
8161,1
8817,1
538,1
4621,1
6883,1
16650,1
14491,1
202,1
14644,1
2964,1
7343,1
14833,1
12235,1
12249,1
1863,1
4465,1
5875,1
4871,1
16462,1
7462,1
5929,1
7926,1
16207,1
2624,1
14195,1
6545,1
9017,1
14594,1
10322,1
15755,1
3817,1
5145,1
5176,1
6570,1
10336,1
11498,1
13456,1
16061,1
11901,1
4040,1
3790,1
4687,1
13070,1
15557,1
12837,1
16817,1
315,1
6199,1
4852,1
6818,1
11468,1
3141,1
4112,1
13484,1
9291,1
10896,1
15207,1
13281,1
15937,1
16540,1
6498,1
5569,1
9316,1
9415,1
11209,1
16494,1
2723,1
10542,1
8972,1
10415,1
7390,1
7961,1
8959,1
263,1
11989,1
16887,1
16180,1
1894,1
1921,1
1227,1
8384,1
9240,1
9938,1
12295,1
13429,1
15440,1
16053,1
15262,1
10228,1
10810,1
12797,1
13710,1
1474,1
9600,1
12740,1
16798,1
2535,1
14041,1
7548,1
8824,1
3075,1
2300,1
192,1
8798,1
12353,1
12294,1
9373,1
4824,1
6636,1
12287,1
15184,1
7927,1
8746,1
10177,1
11474,1
287,1
750,1
3755,1
1284,1
4392,1
15222,1
1876,1
1695,1
1603,1
2172,1
11115,1
2205,1
4585,1
3034,1
8374,1
15308,1
16300,1
3403,1
11367,1
10894,1
6299,1
11463,1
5824,1
2123,1
9605,1
15696,1
1823,1
2802,1
8704,1
14526,1
3364,1
16663,1
15446,1
13427,1
16456,1
13870,1
3997,1
2793,1
9395,1
12576,1
17260,1
2194,1
5421,1
8070,1
17232,1
14215,1
944,1
3681,1
15453,1
16050,1
1769,1
9275,1
9589,1
6014,1
6556,1
15356,1
16666,1
4080,1
16160,1
2344,1
2391,1
2604,1
10325,1
8351,1
12568,1
13969,1
4075,1
14609,1
17066,1
9435,1
9504,1
16426,1
17203,1
3289,1
17231,1
5578,1
14522,1
13026,1
15471,1
2337,1
4334,1
11722,1
12899,1
6086,1
14219,1
6160,1
7079,1
11619,1
460,1
1286,1
1330,1
1655,1
4610,1
13757,1
8835,1
13239,1
3811,1
4744,1
10607,1
10386,1
6971,1
12791,1
13836,1
3136,1
13856,1
6749,1
8507,1
9756,1
10318,1
15531,1
808,1
5888,1
16642,1
16853,1
